0,English
1,English
2,English
3,English
4,Mandarin
5,Mandarin
6,Mandarin
7,Mandarin
8,English
9,English
10,Mandarin
11,English
12,English
13,English
14,English
15,Mandarin
16,English
17,English
18,English
19,English
20,English
21,English
22,English
23,Mandarin
24,English
25,English
26,English
27,English
28,English
29,Mandarin
30,English
31,Mandarin
32,Mandarin
33,Mandarin
34,Mandarin
35,Mandarin
36,Mandarin
37,Mandarin
38,Mandarin
39,Mandarin
40,Mandarin
41,Mandarin
42,Mandarin
43,Mandarin
44,Mandarin
45,Mandarin
46,Mandarin
47,Mandarin
48,Mandarin
49,English
